walking_tick_	current_step_num_	current_link_q_leg_(0)	current_link_q_leg_(1)	current_link_q_leg_(2)	current_link_q_leg_(3)	current_link_q_leg_(4)	current_link_q_leg_(5)	current_link_q_leg_(6)	current_link_q_leg_(7)	current_link_q_leg_(8)	current_link_q_leg_(9)	current_link_q_leg_(10)	current_link_q_leg_(11)
130	0	-7.43562e-08	0.0353449	-0.0531883	0.738396	-0.683351	-0.0351147	4.28144e-08	-0.0353721	0.0532439	-0.73848	0.683376	0.035037
131	0	-1.18651e-07	0.0353454	-0.0535288	0.738423	-0.683036	-0.0351147	-5.75079e-08	-0.0353718	0.0535843	-0.738506	0.683061	0.0350371
132	0	2.81508e-07	0.0353455	-0.0538539	0.738454	-0.682707	-0.0351147	-1.19077e-06	-0.0353718	0.0539095	-0.738536	0.682732	0.0350373
133	0	-3.961e-08	0.0353454	-0.0542057	0.73849	-0.682393	-0.0351144	-1.11272e-06	-0.0353722	0.0542615	-0.738573	0.682418	0.0350374
134	0	-1.54565e-07	0.0353454	-0.0545726	0.738521	-0.68207	-0.0351144	-2.66748e-07	-0.0353725	0.0546283	-0.738604	0.682095	0.0350375
135	0	8.71337e-07	0.0353445	-0.0549465	0.738548	-0.681721	-0.0351143	9.10129e-07	-0.0353735	0.055002	-0.738631	0.681746	0.0350379
136	0	1.18415e-06	0.0353439	-0.0552684	0.738575	-0.681402	-0.0351143	2.27888e-07	-0.0353742	0.0553242	-0.738658	0.681427	0.035038
137	0	3.29262e-07	0.0353446	-0.0556309	0.73861	-0.681076	-0.0351146	-2.30549e-07	-0.0353737	0.055687	-0.738693	0.681102	0.0350375
138	0	-2.89238e-07	0.0353461	-0.0560056	0.73864	-0.680743	-0.0351151	-1.18246e-07	-0.0353724	0.0560615	-0.738723	0.680768	0.0350369
139	0	5.34683e-07	0.035346	-0.056386	0.738666	-0.680384	-0.0351152	5.25377e-07	-0.0353727	0.0564417	-0.738749	0.680409	0.0350371
140	0	9.74026e-07	0.0353451	-0.0567307	0.738694	-0.680033	-0.0351149	-5.77717e-07	-0.0353736	0.0567866	-0.738777	0.680058	0.0350375
141	0	4.9726e-07	0.0353462	-0.0570686	0.73873	-0.679708	-0.0351149	-1.759e-06	-0.0353727	0.0571247	-0.738813	0.679733	0.0350372
142	0	-1.32862e-07	0.0353476	-0.0574551	0.738766	-0.679372	-0.0351151	-1.18273e-06	-0.0353716	0.0575111	-0.738849	0.679396	0.0350369
143	0	2.26514e-07	0.0353466	-0.0578611	0.738792	-0.679004	-0.0351148	9.11168e-08	-0.0353729	0.0579169	-0.738874	0.679028	0.0350375
144	0	1.09211e-06	0.0353444	-0.0581972	0.738813	-0.678666	-0.0351143	5.30163e-08	-0.0353751	0.0582532	-0.738896	0.678691	0.0350384
145	0	6.78166e-07	0.035344	-0.0585733	0.738843	-0.678322	-0.0351143	2.07962e-08	-0.0353756	0.0586297	-0.738927	0.678347	0.0350383
146	0	9.14249e-08	0.035346	-0.0589667	0.73887	-0.677969	-0.035115	2.61624e-07	-0.0353737	0.0590231	-0.738954	0.677994	0.0350376
147	0	9.1108e-07	0.0353464	-0.0593471	0.738892	-0.677613	-0.0351154	1.16861e-06	-0.0353733	0.059403	-0.738976	0.677638	0.0350372
148	0	8.98213e-07	0.0353451	-0.0597244	0.738916	-0.677255	-0.0351152	9.13297e-07	-0.0353747	0.0597805	-0.739	0.67728	0.0350375
149	0	-7.45171e-08	0.0353458	-0.0601251	0.738943	-0.67687	-0.0351154	-5.90791e-07	-0.035374	0.0601816	-0.739027	0.676894	0.0350373
150	0	-1.4426e-07	0.0353484	-0.0604503	0.738969	-0.676542	-0.0351159	-1.89446e-06	-0.0353715	0.0605067	-0.739052	0.676566	0.0350367
151	0	2.31311e-07	0.0353486	-0.0608586	0.739006	-0.67616	-0.0351156	-1.52234e-06	-0.0353715	0.0609148	-0.739088	0.676184	0.0350367
152	0	-4.84932e-08	0.0353466	-0.0612619	0.739033	-0.675795	-0.0351147	-8.58292e-07	-0.0353738	0.0613183	-0.739116	0.675819	0.0350377
153	0	5.02069e-07	0.0353453	-0.0616503	0.739053	-0.675427	-0.0351142	3.68556e-09	-0.0353752	0.0617066	-0.739136	0.675451	0.0350385
154	0	8.49631e-07	0.0353454	-0.0620357	0.739074	-0.675057	-0.0351144	3.76643e-07	-0.0353751	0.0620921	-0.739157	0.675082	0.0350386
155	0	7.14085e-07	0.0353457	-0.0624289	0.739097	-0.674685	-0.0351148	3.57639e-07	-0.0353747	0.0624854	-0.739181	0.674709	0.0350381
